Record_Number,LSN,Type,Type_ID,Length,Space_ID,Page_No,Table_ID,Group,Data_Preview,Data_Length
701,30086,UNKNOWN_MLOG_7,7,108,0,0,0,16,offset=5635 len=103 hex=0094fbee811d001c5c0080e009000000000503c2000001151db108000000000000010000c6fb...,230
702,30093,MLOG_1BYTE,1,7,0,0,0,16,offset=7445 value=0x8d2,23
703,30104,MLOG_1BYTE,1,7,0,0,0,16,offset=1 value=0x7ffefbc6,25
704,30111,MLOG_1BYTE,1,7,0,0,0,16,offset=1 value=0x80010009,25
705,30118,MLOG_8BYTES,8,7,0,0,0,16,offset=1664 value=0x800780,26
706,30126,MLOG_8BYTES,8,7,0,0,0,16,offset=384 value=0x1800480,26
707,30135,MLOG_2BYTES,2,7,0,0,0,16,offset=513 value=0x1d010000,27
708,30192,UNKNOWN_MLOG_7,7,57,0,0,0,16,offset=248 badlen=0 hex=070316e5000094fbee811d001c5c0080e209000000000503c2000001151df308000000000000...,128
709,30344,MLOG_INIT_FILE_PAGE,29,97,0,0,0,16,offset=7168 len=92 hex=80e309000000000503c2000001151e1408000000000000010300c6fbfe7f01010009000180088...,207
710,30352,MLOG_1BYTE,1,7,0,0,0,16,offset=7701 value=0x835,23
